neokey,iri,keytype,owltype
name,http://xmlns.com/foaf/0.1/name,node,AnnotationProperty
accession,,relation,
bespoke,,node,
center,,relation,
comment,http://www.w3.org/2000/01/rdf-schema#comment,node,AnnotationProperty
data_link_pre,,node,
dataset_link,,node,
dataset_spec_text,,node,
dataset_spec_text,,node,
definition,http://purl.obolibrary.org/obo/IAO_0000115,node,AnnotationProperty
description,,node,
DOI,,node,
extent,,relation,
filename,,relation,
folder,,relation,
folder,,relation,
id_in_source,,relation,
index,,relation,
is_obsolete,http://www.w3.org/2002/07/owl#deprecated,node,AnnotationProperty
label,http://www.w3.org/2000/01/rdf-schema#label,node,AnnotationProperty
license_logo,,node,
License_note,,node,
license_summary_url,,node,
license_url,,node,
link_base,,node,
link_icon_url,,node,
link_postfix,,node,
logo_url,,node,
miniref,,node,
nrrd,,relation,
obj,,relation,
ontology_name,,node,
orientation,,relation,
PMID,,node,
production,,node,
pseudonyms,,node,
public,,node,
swc,,relation,
synonyms,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,node,AnnotationProperty
thumbnail,,relation,
typ,,relation,
type,,relation,
voxel,,relation,
voxel_overlap_center,,relation,
voxel_overlap_left,,relation,
voxel_overlap_right,,relation,
wlz,,relation,
xref_db,,node,
xrefs,http://www.geneontology.org/formats/oboInOwl#hasDbXref,node,AnnotationProperty
